id_number,long_name,tank_number,treatment,date,time,variable,note
MOBEAST045,MOBEAST_T7_K_2024-06-03_0000,T7,K,6/3/2024,0000,fDOM,NA
MOBEAST046,MOBEAST_T8_C_2024-06-03_0000,T8,C,6/3/2024,0000,fDOM,NA
MOBEAST047,MOBEAST_T9_K_2024-06-03_0000,T9,K,6/3/2024,0000,fDOM,NA
MOBEAST048,MOBEAST_T10_R_2024-06-03_0000,T10,R,6/3/2024,0000,fDOM,NA
MOBEAST049,MOBEAST_T11_C_2024-06-03_0000,T11,C,6/3/2024,0000,fDOM,NA
MOBEAST050,MOBEAST_T12_R_2024-06-03_0000,T12,R,6/3/2024,0000,fDOM,NA
MOBEAST051,MOBEAST_T13_A_2024-06-03_0000,T13,A,6/3/2024,0000,fDOM,NA
MOBEAST052,MOBEAST_T14_A_2024-06-03_0000,T14,A,6/3/2024,0000,fDOM,NA
MOBEAST053,MOBEAST_T15_C_2024-06-03_0000,T15,C,6/3/2024,0000,fDOM,NA
MOBEAST054,MOBEAST_T16_K_2024-06-03_0000,T16,K,6/3/2024,0000,fDOM,NA
MOBEAST055,MOBEAST_F1_Inflow_2024-06-03_0600,F1,Inflow,6/3/2024,0600,fDOM,"sample spilled, no more water"
MOBEAST056,MOBEAST_F2_Inflow_2024-06-03_0600,F2,Inflow,6/3/2024,0600,fDOM,NA
MOBEAST057,MOBEAST_T1_A_2024-06-03_0600,T1,A,6/3/2024,0600,fDOM,NA
MOBEAST058,MOBEAST_T2_R_2024-06-03_0600,T2,R,6/3/2024,0600,fDOM,NA
MOBEAST059,MOBEAST_T3_C_2024-06-03_0600,T3,C,6/3/2024,0600,fDOM,NA
MOBEAST060,MOBEAST_T4_A_2024-06-03_0600,T4,A,6/3/2024,0600,fDOM,NA
MOBEAST061,MOBEAST_T5_R_2024-06-03_0600,T5,R,6/3/2024,0600,fDOM,NA
MOBEAST062,MOBEAST_T6_K_2024-06-03_0600,T6,K,6/3/2024,0600,fDOM,NA
MOBEAST063,MOBEAST_T7_K_2024-06-03_0600,T7,K,6/3/2024,0600,fDOM,NA
MOBEAST064,MOBEAST_T8_C_2024-06-03_0600,T8,C,6/3/2024,0600,fDOM,NA
MOBEAST065,MOBEAST_T9_K_2024-06-03_0600,T9,K,6/3/2024,0600,fDOM,NA
MOBEAST066,MOBEAST_T10_R_2024-06-03_0600,T10,R,6/3/2024,0600,fDOM,NA
MOBEAST067,MOBEAST_T11_C_2024-06-03_0600,T11,C,6/3/2024,0600,fDOM,NA
MOBEAST068,MOBEAST_T12_R_2024-06-03_0600,T12,R,6/3/2024,0600,fDOM,NA
MOBEAST069,MOBEAST_T13_A_2024-06-03_0600,T13,A,6/3/2024,0600,fDOM,NA
MOBEAST070,MOBEAST_T14_A_2024-06-03_0600,T14,A,6/3/2024,0600,fDOM,NA
MOBEAST071,MOBEAST_T15_C_2024-06-03_0600,T15,C,6/3/2024,0600,fDOM,NA
MOBEAST072,MOBEAST_T16_K_2024-06-03_0600,T16,K,6/3/2024,0600,fDOM,NA
NA,MOBEAST_F1_Inflow_2024-06-04_0:00,F1,Inflow,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_F2_Inflow_2024-06-04_0:00,F2,Inflow,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T1_A_2024-06-04_0:00,T1,A,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T2_R_2024-06-04_0:00,T2,R,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T3_C_2024-06-04_0:00,T3,C,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T4_A_2024-06-04_0:00,T4,A,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T5_R_2024-06-04_0:00,T5,R,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T6_K_2024-06-04_0:00,T6,K,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T7_K_2024-06-04_0:00,T7,K,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T8_C_2024-06-04_0:00,T8,C,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T9_K_2024-06-04_0:00,T9,K,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T10_R_2024-06-04_0:00,T10,R,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T11_C_2024-06-04_0:00,T11,C,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T12_R_2024-06-04_0:00,T12,R,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T13_A_2024-06-04_0:00,T13,A,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T14_A_2024-06-04_0:00,T14,A,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T15_C_2024-06-04_0:00,T15,C,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_T16_K_2024-06-04_0:00,T16,K,6/4/2024,0:00,fDOM,NA
NA,MOBEAST_F1_Inflow_2024-06-06_0:00,F1,Inflow,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_F2_Inflow_2024-06-06_0:00,F2,Inflow,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T1_A_2024-06-06_0:00,T1,A,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T2_R_2024-06-06_0:00,T2,R,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T3_C_2024-06-06_0:00,T3,C,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T4_A_2024-06-06_0:00,T4,A,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T5_R_2024-06-06_0:00,T5,R,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T6_K_2024-06-06_0:00,T6,K,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T7_K_2024-06-06_0:00,T7,K,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T8_C_2024-06-06_0:00,T8,C,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T9_K_2024-06-06_0:00,T9,K,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T10_R_2024-06-06_0:00,T10,R,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T11_C_2024-06-06_0:00,T11,C,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T12_R_2024-06-06_0:00,T12,R,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T13_A_2024-06-06_0:00,T13,A,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T14_A_2024-06-06_0:00,T14,A,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T15_C_2024-06-06_0:00,T15,C,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_T16_K_2024-06-06_0:00,T16,K,6/6/2024,0:00,fDOM,NA
NA,MOBEAST_Bay_Endmember_2024-05-27_0:00,Bay,Endmember,5/27/2024,0:00,fDOM,NA
NA,MOBEAST_Ocean_Endmember_2024-05-27_0:00,Ocean,Endmember,5/27/2024,0:00,fDOM,NA
NA,MOBEAST_Lagoon_Endmember_2024-05-27_0:00,Lagoon,Endmember,5/27/2024,0:00,fDOM,NA
NA,MOBEAST_Bay_Endmember_2024-05-25_0:00,Bay,Endmember,5/25/2024,0:00,fDOM,NA
NA,MOBEAST_Ocean_Endmember_2024-05-25_0:00,Ocean,Endmember,5/25/2024,0:00,fDOM,NA
MOBEAST114,MOBEAST_Lagoon Tiahura_Endmember_2024-05-25_0845,Lagoon Tiahura,Endmember,5/25/2024,0845,fDOM,NA
NA,MOBEAST_Bay_Rain_2024-06-06_0:00,Bay,Rain,6/6/2024,0:00,fDOM,NA
